2022-05-25 22:28:09,359 efficientvit_b1 INFO: Start validation, Total sample: 500
2022-05-25 22:28:20,632 efficientvit_b1 INFO: Sample: 130, validation pixAcc: 91.118, mIoU: 56.156
2022-05-25 22:28:20,714 efficientvit_b1 INFO: Sample: 131, validation pixAcc: 91.135, mIoU: 56.142
2022-05-25 22:28:20,808 efficientvit_b1 INFO: Sample: 132, validation pixAcc: 91.149, mIoU: 56.116
2022-05-25 22:28:20,871 efficientvit_b1 INFO: Sample: 133, validation pixAcc: 91.174, mIoU: 56.075
2022-05-25 22:28:20,946 efficientvit_b1 INFO: Sample: 134, validation pixAcc: 91.170, mIoU: 56.069
2022-05-25 22:28:21,027 efficientvit_b1 INFO: Sample: 135, validation pixAcc: 91.165, mIoU: 56.101
2022-05-25 22:28:21,104 efficientvit_b1 INFO: Sample: 136, validation pixAcc: 91.183, mIoU: 56.191
2022-05-25 22:28:21,168 efficientvit_b1 INFO: Sample: 137, validation pixAcc: 91.171, mIoU: 56.064
2022-05-25 22:28:21,249 efficientvit_b1 INFO: Sample: 138, validation pixAcc: 91.197, mIoU: 56.029
2022-05-25 22:28:21,318 efficientvit_b1 INFO: Sample: 139, validation pixAcc: 91.222, mIoU: 56.001
2022-05-25 22:28:21,396 efficientvit_b1 INFO: Sample: 140, validation pixAcc: 91.236, mIoU: 56.015
2022-05-25 22:28:21,470 efficientvit_b1 INFO: Sample: 141, validation pixAcc: 91.239, mIoU: 55.912
2022-05-25 22:28:21,546 efficientvit_b1 INFO: Sample: 142, validation pixAcc: 91.226, mIoU: 55.910
2022-05-25 22:28:21,609 efficientvit_b1 INFO: Sample: 143, validation pixAcc: 91.221, mIoU: 55.921
2022-05-25 22:28:21,690 efficientvit_b1 INFO: Sample: 144, validation pixAcc: 91.256, mIoU: 55.912
2022-05-25 22:28:21,763 efficientvit_b1 INFO: Sample: 145, validation pixAcc: 91.235, mIoU: 55.855
2022-05-25 22:28:21,837 efficientvit_b1 INFO: Sample: 146, validation pixAcc: 91.248, mIoU: 55.794
2022-05-25 22:28:21,924 efficientvit_b1 INFO: Sample: 147, validation pixAcc: 91.239, mIoU: 55.767
2022-05-25 22:28:21,987 efficientvit_b1 INFO: Sample: 148, validation pixAcc: 91.240, mIoU: 55.733
2022-05-25 22:28:22,061 efficientvit_b1 INFO: Sample: 149, validation pixAcc: 91.261, mIoU: 55.712
2022-05-25 22:28:22,129 efficientvit_b1 INFO: Sample: 150, validation pixAcc: 91.239, mIoU: 55.773
2022-05-25 22:28:22,208 efficientvit_b1 INFO: Sample: 151, validation pixAcc: 91.227, mIoU: 55.697
2022-05-25 22:28:22,271 efficientvit_b1 INFO: Sample: 152, validation pixAcc: 91.250, mIoU: 55.692
2022-05-25 22:28:22,345 efficientvit_b1 INFO: Sample: 153, validation pixAcc: 91.279, mIoU: 55.685
2022-05-25 22:28:22,411 efficientvit_b1 INFO: Sample: 154, validation pixAcc: 91.243, mIoU: 55.653
2022-05-25 22:28:22,482 efficientvit_b1 INFO: Sample: 155, validation pixAcc: 91.267, mIoU: 55.620
2022-05-25 22:28:22,559 efficientvit_b1 INFO: Sample: 156, validation pixAcc: 91.295, mIoU: 55.628
2022-05-25 22:28:22,635 efficientvit_b1 INFO: Sample: 157, validation pixAcc: 91.306, mIoU: 55.832
2022-05-25 22:28:22,717 efficientvit_b1 INFO: Sample: 158, validation pixAcc: 91.304, mIoU: 56.054
2022-05-25 22:28:22,781 efficientvit_b1 INFO: Sample: 159, validation pixAcc: 91.295, mIoU: 56.081
2022-05-25 22:28:22,853 efficientvit_b1 INFO: Sample: 160, validation pixAcc: 91.294, mIoU: 56.061
2022-05-25 22:28:22,917 efficientvit_b1 INFO: Sample: 161, validation pixAcc: 91.306, mIoU: 56.402
2022-05-25 22:28:23,011 efficientvit_b1 INFO: Sample: 162, validation pixAcc: 91.307, mIoU: 56.641
2022-05-25 22:28:23,075 efficientvit_b1 INFO: Sample: 163, validation pixAcc: 91.264, mIoU: 56.614
2022-05-25 22:28:23,157 efficientvit_b1 INFO: Sample: 164, validation pixAcc: 91.269, mIoU: 56.556
2022-05-25 22:28:23,225 efficientvit_b1 INFO: Sample: 165, validation pixAcc: 91.263, mIoU: 56.577
2022-05-25 22:28:23,298 efficientvit_b1 INFO: Sample: 166, validation pixAcc: 91.279, mIoU: 56.574
2022-05-25 22:28:23,368 efficientvit_b1 INFO: Sample: 167, validation pixAcc: 91.280, mIoU: 56.755
2022-05-25 22:28:23,448 efficientvit_b1 INFO: Sample: 168, validation pixAcc: 91.284, mIoU: 56.780
2022-05-25 22:28:23,512 efficientvit_b1 INFO: Sample: 169, validation pixAcc: 91.279, mIoU: 56.786
2022-05-25 22:28:23,587 efficientvit_b1 INFO: Sample: 170, validation pixAcc: 91.281, mIoU: 56.769
2022-05-25 22:28:23,665 efficientvit_b1 INFO: Sample: 171, validation pixAcc: 91.312, mIoU: 56.777
2022-05-25 22:28:23,729 efficientvit_b1 INFO: Sample: 172, validation pixAcc: 91.311, mIoU: 56.682
2022-05-25 22:28:23,805 efficientvit_b1 INFO: Sample: 173, validation pixAcc: 91.339, mIoU: 56.708
2022-05-25 22:28:23,879 efficientvit_b1 INFO: Sample: 174, validation pixAcc: 91.337, mIoU: 56.719
2022-05-25 22:28:23,954 efficientvit_b1 INFO: Sample: 175, validation pixAcc: 91.305, mIoU: 56.709
2022-05-25 22:28:24,026 efficientvit_b1 INFO: Sample: 176, validation pixAcc: 91.300, mIoU: 56.666
2022-05-25 22:28:24,108 efficientvit_b1 INFO: Sample: 177, validation pixAcc: 91.278, mIoU: 56.639
2022-05-25 22:28:24,173 efficientvit_b1 INFO: Sample: 178, validation pixAcc: 91.291, mIoU: 56.665
2022-05-25 22:28:24,245 efficientvit_b1 INFO: Sample: 179, validation pixAcc: 91.282, mIoU: 56.718
2022-05-25 22:28:24,327 efficientvit_b1 INFO: Sample: 180, validation pixAcc: 91.299, mIoU: 56.738
2022-05-25 22:28:24,391 efficientvit_b1 INFO: Sample: 181, validation pixAcc: 91.317, mIoU: 56.751
2022-05-25 22:28:24,464 efficientvit_b1 INFO: Sample: 182, validation pixAcc: 91.340, mIoU: 56.758
2022-05-25 22:28:24,534 efficientvit_b1 INFO: Sample: 183, validation pixAcc: 91.337, mIoU: 56.744
2022-05-25 22:28:24,610 efficientvit_b1 INFO: Sample: 184, validation pixAcc: 91.343, mIoU: 56.777
2022-05-25 22:28:24,673 efficientvit_b1 INFO: Sample: 185, validation pixAcc: 91.343, mIoU: 56.787
2022-05-25 22:28:24,746 efficientvit_b1 INFO: Sample: 186, validation pixAcc: 91.366, mIoU: 56.751
2022-05-25 22:28:24,818 efficientvit_b1 INFO: Sample: 187, validation pixAcc: 91.359, mIoU: 56.727
2022-05-25 22:28:24,890 efficientvit_b1 INFO: Sample: 188, validation pixAcc: 91.362, mIoU: 56.711
2022-05-25 22:28:24,959 efficientvit_b1 INFO: Sample: 189, validation pixAcc: 91.354, mIoU: 56.723
2022-05-25 22:28:25,024 efficientvit_b1 INFO: Sample: 190, validation pixAcc: 91.366, mIoU: 56.758
2022-05-25 22:28:25,094 efficientvit_b1 INFO: Sample: 191, validation pixAcc: 91.379, mIoU: 56.724
2022-05-25 22:28:25,172 efficientvit_b1 INFO: Sample: 192, validation pixAcc: 91.389, mIoU: 56.700
2022-05-25 22:28:25,237 efficientvit_b1 INFO: Sample: 193, validation pixAcc: 91.373, mIoU: 56.667
2022-05-25 22:28:25,303 efficientvit_b1 INFO: Sample: 194, validation pixAcc: 91.392, mIoU: 56.671
2022-05-25 22:28:25,373 efficientvit_b1 INFO: Sample: 195, validation pixAcc: 91.410, mIoU: 56.692
2022-05-25 22:28:25,446 efficientvit_b1 INFO: Sample: 196, validation pixAcc: 91.399, mIoU: 56.647
2022-05-25 22:28:25,511 efficientvit_b1 INFO: Sample: 197, validation pixAcc: 91.412, mIoU: 56.635
2022-05-25 22:28:25,595 efficientvit_b1 INFO: Sample: 198, validation pixAcc: 91.411, mIoU: 56.663
2022-05-25 22:28:25,682 efficientvit_b1 INFO: Sample: 199, validation pixAcc: 91.387, mIoU: 56.620
2022-05-25 22:28:25,746 efficientvit_b1 INFO: Sample: 200, validation pixAcc: 91.381, mIoU: 56.572
2022-05-25 22:28:25,824 efficientvit_b1 INFO: Sample: 201, validation pixAcc: 91.407, mIoU: 56.581
2022-05-25 22:28:25,891 efficientvit_b1 INFO: Sample: 202, validation pixAcc: 91.418, mIoU: 56.585
2022-05-25 22:28:25,963 efficientvit_b1 INFO: Sample: 203, validation pixAcc: 91.385, mIoU: 56.656
2022-05-25 22:28:26,046 efficientvit_b1 INFO: Sample: 204, validation pixAcc: 91.370, mIoU: 56.624
2022-05-25 22:28:26,139 efficientvit_b1 INFO: Sample: 205, validation pixAcc: 91.396, mIoU: 56.622
2022-05-25 22:28:26,203 efficientvit_b1 INFO: Sample: 206, validation pixAcc: 91.367, mIoU: 56.628
2022-05-25 22:28:26,281 efficientvit_b1 INFO: Sample: 207, validation pixAcc: 91.374, mIoU: 56.648
2022-05-25 22:28:26,347 efficientvit_b1 INFO: Sample: 208, validation pixAcc: 91.340, mIoU: 56.483
2022-05-25 22:28:26,410 efficientvit_b1 INFO: Sample: 209, validation pixAcc: 91.322, mIoU: 56.387
2022-05-25 22:28:26,488 efficientvit_b1 INFO: Sample: 210, validation pixAcc: 91.332, mIoU: 56.553
2022-05-25 22:28:26,553 efficientvit_b1 INFO: Sample: 211, validation pixAcc: 91.335, mIoU: 56.723
2022-05-25 22:28:26,628 efficientvit_b1 INFO: Sample: 212, validation pixAcc: 91.356, mIoU: 56.734
2022-05-25 22:28:26,709 efficientvit_b1 INFO: Sample: 213, validation pixAcc: 91.358, mIoU: 56.760
2022-05-25 22:28:26,775 efficientvit_b1 INFO: Sample: 214, validation pixAcc: 91.357, mIoU: 56.731
2022-05-25 22:28:26,843 efficientvit_b1 INFO: Sample: 215, validation pixAcc: 91.353, mIoU: 56.688
2022-05-25 22:28:26,922 efficientvit_b1 INFO: Sample: 216, validation pixAcc: 91.349, mIoU: 56.571
2022-05-25 22:28:26,984 efficientvit_b1 INFO: Sample: 217, validation pixAcc: 91.349, mIoU: 56.976
2022-05-25 22:28:27,061 efficientvit_b1 INFO: Sample: 218, validation pixAcc: 91.319, mIoU: 56.870
2022-05-25 22:28:27,133 efficientvit_b1 INFO: Sample: 219, validation pixAcc: 91.330, mIoU: 56.869
2022-05-25 22:28:27,207 efficientvit_b1 INFO: Sample: 220, validation pixAcc: 91.329, mIoU: 56.899
2022-05-25 22:28:27,274 efficientvit_b1 INFO: Sample: 221, validation pixAcc: 91.338, mIoU: 56.910
2022-05-25 22:28:27,345 efficientvit_b1 INFO: Sample: 222, validation pixAcc: 91.343, mIoU: 56.923
2022-05-25 22:28:27,425 efficientvit_b1 INFO: Sample: 223, validation pixAcc: 91.348, mIoU: 56.921
2022-05-25 22:28:27,501 efficientvit_b1 INFO: Sample: 224, validation pixAcc: 91.359, mIoU: 56.925
2022-05-25 22:28:27,592 efficientvit_b1 INFO: Sample: 225, validation pixAcc: 91.363, mIoU: 56.945
2022-05-25 22:28:27,656 efficientvit_b1 INFO: Sample: 226, validation pixAcc: 91.378, mIoU: 57.006
2022-05-25 22:28:27,740 efficientvit_b1 INFO: Sample: 227, validation pixAcc: 91.316, mIoU: 57.724
2022-05-25 22:28:27,806 efficientvit_b1 INFO: Sample: 228, validation pixAcc: 91.327, mIoU: 57.751
2022-05-25 22:28:27,876 efficientvit_b1 INFO: Sample: 229, validation pixAcc: 91.344, mIoU: 57.810
2022-05-25 22:28:27,945 efficientvit_b1 INFO: Sample: 230, validation pixAcc: 91.326, mIoU: 57.777
2022-05-25 22:28:28,008 efficientvit_b1 INFO: Sample: 231, validation pixAcc: 91.316, mIoU: 57.662
2022-05-25 22:28:28,084 efficientvit_b1 INFO: Sample: 232, validation pixAcc: 91.325, mIoU: 57.721
2022-05-25 22:28:28,162 efficientvit_b1 INFO: Sample: 233, validation pixAcc: 91.332, mIoU: 57.727
2022-05-25 22:28:28,228 efficientvit_b1 INFO: Sample: 234, validation pixAcc: 91.341, mIoU: 57.754
2022-05-25 22:28:28,292 efficientvit_b1 INFO: Sample: 235, validation pixAcc: 91.361, mIoU: 57.763
2022-05-25 22:28:28,366 efficientvit_b1 INFO: Sample: 236, validation pixAcc: 91.363, mIoU: 57.749
2022-05-25 22:28:28,434 efficientvit_b1 INFO: Sample: 237, validation pixAcc: 91.345, mIoU: 57.751
2022-05-25 22:28:28,512 efficientvit_b1 INFO: Sample: 238, validation pixAcc: 91.359, mIoU: 57.760
